자치구,분류,위도,경도
동대문구,파출소,37.5761801,127.047943
동대문구,파출소,37.5863135,127.054211
동대문구,파출소,37.5767703,127.074343
동대문구,지구대,37.5964786,127.068101
동대문구,파출소,37.5846577,127.067988
동대문구,파출소,37.5910628,127.051836
동대문구,경찰서,37.5850376,127.045662
동작구,지구대,37.4804654,126.979901
동작구,지구대,37.5111358,126.933259
동작구,지구대,37.5059207,126.936216
동작구,지구대,37.4841041,126.973229
동작구,지구대,37.5123802,126.953629
동작구,지구대,37.4866457,126.905896
동작구,파출소,37.4985499,126.920582
동작구,경찰서,37.5129159,126.94277
마포구,지구대,37.5473265,126.929277
마포구,지구대,37.55179,126.954113
마포구,지구대,37.568783,126.908949
마포구,지구대,37.5518478,126.913429
마포구,지구대,37.5425498,126.943063
마포구,파출소,37.5782306,126.893836
마포구,파출소,37.554317,126.902709
마포구,파출소,37.5603153,126.923741
마포구,경찰서,37.5507268,126.954238
서대문구,지구대,37.5698754,126.961097
서대문구,지구대,37.5585604,126.942972
서대문구,파출소,37.5952233,126.946397
서대문구,파출소,37.5702588,126.93282
서대문구,파출소,37.5760017,126.924042
서대문구,파출소,37.5829675,126.912849
서대문구,파출소,37.5881407,126.944522
서대문구,파출소,37.5836584,126.936148
서대문구,경찰서,37.5648497,126.966861
서초구,지구대,37.5059657,127.00516
서초구,파출소,37.487501,127.028938
서초구,파출소,37.4919728,127.010768
서초구,파출소,37.4845253,127.037824
서초구,파출소,37.4852777,127.016726
서초구,파출소,37.4718329,127.027157
서초구,파출소,37.4551225,127.065873
서초구,경찰서,37.4956672,127.005046
서초구,지구대,37.4795017,126.982129
서초구,파출소,37.5020913,126.996949
서초구,파출소,37.4941259,126.988808
서초구,파출소,37.4845128,126.996883
성동구,지구대,37.5602889,127.041743
성동구,지구대,37.5482283,127.055112
성동구,지구대,37.5380303,127.052253
성동구,파출소,37.5666346,127.032623
성동구,파출소,37.5574545,127.028782
성동구,파출소,37.5449422,127.01383
성동구,파출소,37.5547172,127.019592
성동구,파출소,37.5497867,127.030002
성동구,파출소,37.564763,127.051728
성동구,경찰서,37.5616781,127.036277
